"TransferOrderNo","FromSiteID","ToSiteID","TxnDate","InvtID","BarCode","BaseUnitQty","UnitID"
TO100504820,"9005","1219","2024.06.26","8305020000027","2683000018640",300.0,EA
TO100504820,"9005","1219","2024.06.26","8305020000030","2683000018701",300.0,EA
TO100504820,"9005","1219","2024.06.26","8307030000003","2683000040672",12.0,EA
TO100504820,"9005","1219","2024.06.26","8305020000021","2683000002434",200.0,EA
TO100504820,"9005","1219","2024.06.26","8105010000005","2681000037579",5.0,EA
TO100504820,"9005","1219","2024.06.26","8104020000005","2681000019841",1.0,EA
TO100504822,"9005","1248","2024.06.26","8207010000009","8658000033263",4.0,EA
TO100504822,"9005","1248","2024.06.26","8307030000004","2683000043369",8.0,EA
TO100504822,"9005","1248","2024.06.26","8305020000030","2683000018701",300.0,EA
TO100504822,"9005","1248","2024.06.26","8305020000029","2683000018688",300.0,EA
TO100504822,"9005","1248","2024.06.26","8305020000023","2683000002458",200.0,EA
TO100504822,"9005","1248","2024.06.26","8305020000055","2683000024481",200.0,EA
TO100504822,"9005","1248","2024.06.26","8305030000005","2683000017988",100.0,EA
TO100504822,"9005","1248","2024.06.26","8305020000026","2683000018626",300.0,EA
TO100504824,"9005","1238","2024.06.26","8305020000026","2683000018626",300.0,EA
TO100504824,"9005","1238","2024.06.26","8305010000051","2683000018749",1000.0,EA
TO100504824,"9005","1238","2024.06.26","8305020000027","2683000018640",100.0,EA
TO100504824,"9005","1238","2024.06.26","8305010000055","2683000018916",200.0,EA
TO100504824,"9005","1238","2024.06.26","8305020000023","2683000002458",300.0,EA
TO100504824,"9005","1238","2024.06.26","8305020000055","2683000024481",500.0,EA
TO100504824,"9005","1238","2024.06.26","8305020000099","2683000042997",300.0,EA
TO100504824,"9005","1238","2024.06.26","8207010000009","8658000033263",4.0,EA
TO100504824,"9005","1238","2024.06.26","8208030000003","2682000027133",16000000,EA
TO100504824,"9005","1238","2024.06.26","8208060000004","2682000027157",8000000.0,EA
TO100504824,"9005","1238","2024.06.26","8305020000020","2683000002427",100.0,EA
TO100504824,"9005","1238","2024.06.26","8305020000022","2683000002441",100.0,EA
TO100504824,"9005","1238","2024.06.26","8302060000003","2683000019630",5.0,EA
TO100504824,"9005","1238","2024.06.26","8305030000004","2683000017957",500.0,EA
TO100504824,"9005","1238","2024.06.26","8305030000005","2683000017988",200.0,EA
TO100504824,"9005","1238","2024.06.26","8302050000004","2683000019746",1.0,EA
TO100504829,"9005","1069","2024.06.26","8305020000023","2683000002458",1000.0,EA
TO100504829,"9005","1069","2024.06.26","8305020000055","2683000024481",1000.0,EA
TO100504829,"9005","1069","2024.06.26","8307030000001","2383000017413",15.0,EA
TO100504829,"9005","1069","2024.06.26","8101990000006","2783000017114",18.0,EA
TO100504829,"9005","1069","2024.06.26","8305010000059","2683000019654",600.0,EA
TO100504829,"9005","1069","2024.06.26","8305010000060","2683000019661",1000.0,EA
TO100504829,"9005","1069","2024.06.26","1207030000015","8654000553497",3.0,EA
TO100504829,"9005","1069","2024.06.26","1207030000019","26820000026280,",0.0,EA
TO100504829,"9005","1069","2024.06.26","8305020000026","2683000018626",1000.0,EA
TO100504829,"9005","1069","2024.06.26","1207030000012","2312000017123",1000.0,EA
TO100504829,"9005","1069","2024.06.26","8305020000030","2683000018701",1000.0,EA
TO100504829,"9005","1069","2024.06.26","8305020000027","2683000018640",100.0,EA
TO100504832,"9005","1199","2024.06.26","1207030000012","2312000017123",500.0,EA
TO100504832,"9005","1199","2024.06.26","8305020000026","2683000018626",1000.0,EA
TO100504832,"9005","1199","2024.06.26","8305020000027","2683000018640",1000.0,EA
TO100504832,"9005","1199","2024.06.26","8305020000030","2683000018701",1000.0,EA
TO100504832,"9005","1199","2024.06.26","8305020000055","2683000024481",200.0,EA
TO100504832,"9005","1199","2024.06.26","8305010000059","2683000019654",5.0,EA
TO100504832,"9005","1199","2024.06.26","8305010000060","2683000019661",5.0,EA
TO100504832,"9005","1199","2024.06.26","8307030000004","2683000043369",24.0,EA
TO100504832,"9005","1199","2024.06.26","8305010000052","2683000018763",1000.0,EA
TO100504832,"9005","1199","2024.06.26","8305010000055","2683000018916",1000.0,EA
TO100504836,"9005","1235","2024.06.26","8305020000023","2683000002458",200.0,EA
TO100504836,"9005","1235","2024.06.26","8305020000099","2683000042997",200.0,EA
TO100504836,"9005","1235","2024.06.26","8305010000051","2683000018749",1000.0,EA
TO100504836,"9005","1235","2024.06.26","8305020000027","2683000018640",200.0,EA
TO100504836,"9005","1235","2024.06.26","8305020000026","2683000018626",100.0,EA
TO100504836,"9005","1235","2024.06.26","8305020000030","2683000018701",100.0,EA
TO100504836,"9005","1235","2024.06.26","8105050000002","2781000017875",3.0,EA
TO100504836,"9005","1235","2024.06.26","8305020000009","2683000036828",2.0,KG
TO100504838,"9005","1134","2024.06.26","8305010000060","2683000019661",10.0,EA
TO100504838,"9005","1134","2024.06.26","8307030000004","2683000043369",10.0,EA
TO100504838,"9005","1134","2024.06.26","8305020000026","2683000018626",300.0,EA
TO100504838,"9005","1134","2024.06.26","8305020000030","2683000018701",300.0,EA
TO100504838,"9005","1134","2024.06.26","8305020000027","2683000018640",300.0,EA
TO100504838,"9005","1134","2024.06.26","8305010000051","2683000018749",500.0,EA
TO100504838,"9005","1134","2024.06.26","8305010000055","2683000018916",300.0,EA
TO100504838,"9005","1134","2024.06.26","8305020000023","2683000002458",500.0,EA
TO100504838,"9005","1134","2024.06.26","8305020000055","2683000024481",500.0,EA
TO100504838,"9005","1134","2024.06.26","8305020000099","2683000042997",300.0,EA
TO100504838,"9005","1134","2024.06.26","8305020000021","2683000002434",300.0,EA
TO100504838,"9005","1134","2024.06.26","8305020000020","2683000002427",300.0,EA
TO100504838,"9005","1134","2024.06.26","8304090000005","2683000034671",50.0,EA
TO100504838,"9005","1134","2024.06.26","8305020000032","2683000019289",300.0,EA
TO100504838,"9005","1134","2024.06.26","8305020000093","2683000040658",300.0,EA
TO100504838,"9005","1134","2024.06.26","8101990000006","2783000017114",50.0,EA
TO100504838,"9005","1134","2024.06.26","8305010000057","2683000019128",10.0,EA
TO100504839,"9005","1163","2024.06.26","1207030000012","2312000017123",200.0,EA
TO100504839,"9005","1163","2024.06.26","8305010000060","2683000019661",3.0,EA
TO100504839,"9005","1163","2024.06.26","8103990000002","2781000017462",1.0,EA
TO100504839,"9005","1163","2024.06.26","8303040000031","2683000042485",2.0,EA
TO100504839,"9005","1163","2024.06.26","8305030000004","2683000017957",150.0,EA
TO100504839,"9005","1163","2024.06.26","8305030000005","2683000017988",150.0,EA
TO100504839,"9005","1163","2024.06.26","8103060000003","2681000018592",1.0,EA
